Original Danish;English Translation;Suggested Group
Fritliggende enfamiliehus;Detached single-family house;Residential Buildings
Carport;Carport;Transport & Parking
(UDFASES) Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o. lign;(Phased out) Building for commercial production related to agriculture, horticulture, raw material extraction, etc.;Agricultural & Rural
Maskinhus, garage mv.;Machine shed, garage, etc.;Agricultural & Rural
Lade til foder, afgrøder mv.;Barn for feed, crops, etc.;Agricultural & Rural
Udhus;Outbuilding;Agricultural & Rural
Garage;Garage;Transport & Parking
Tiloversbleven landbrugsbygning;Redundant agricultural building;Agricultural & Rural
(UDFASES) Række-, kæde-, eller dobbelthus (lodret adskillelse mellem enhederne).;(Phased out) Row, linked, or semi-detached house (vertical separation between units);Residential Buildings
Sommerhus;Holiday home;Residential Buildings
Anden bygning til undervisning og forskning;Other building for education and research;Institutional & Public
Minkhal;Mink shed;Agricultural & Rural
(UDFASES) Bygning til anden institution, herunder kaserne, fængsel o. lign.;(Phased out) Building for other institution, including barracks, prison, etc.;Institutional & Public
(UDFASES) Bygning til kontor, handel, lager, herunder offentlig administration;(Phased out) Building for office, trade, storage, including public administration;Office
Væksthus;Greenhouse;Agricultural & Rural
Stuehus til landbrugsejendom;Farmhouse;Agricultural & Rural
(UDFASES) Bygning til erhvervsmæssig produktion vedrørende industri, håndværk m.v. (fabrik, værksted o.lign.);(Phased out) Building for industrial or craft production (factory, workshop, etc.);Industrial & Production
Boligbygning til døgninstitution;Residential building for 24-hour institution;Institutional & Public
Anden bygning til helårsbeboelse;Other building for year-round residence;Residential Buildings
Feriecenter, center til campingplads mv.;Holiday center, camping site center, etc.;Residential Buildings
Stald til svin;Pigsty;Agricultural & Rural
Bygning til industri uden integreret produktionsapparat;Industrial building without integrated production equipment;Industrial & Production
Anden bygning til serviceerhverv;Other building for service industry;Office
Anden bygning til produktion;Other building for production;Industrial & Production
Etagebolig-bygning, flerfamiliehus eller to-familiehus;Apartment building, multi-family house, or two-family house;Residential Buildings
Stald til kvæg, får mv.;Cattle or sheep barn;Agricultural & Rural
Sundhedscenter, lægehus, fødeklinik mv.;Health center, medical clinic, maternity clinic, etc.;Institutional & Public
(UDFASES) Anden bygning til landbrug, industri etc.;(Phased out) Other building for agriculture, industry, etc.;Industrial & Production
(UDFASES) Bygning til hotel, restaurant, vaskeri, frisør og anden servicevirksomhed;(Phased out) Building for hotel, restaurant, laundry, hairdresser, and other services;Commercial
Anden bygning til landbrug mv.;Other building for agriculture, etc.;Agricultural & Rural
Bygning til kontor;Office building;Office
Ukendt bygning;Unknown building;Miscellaneous
Bygning til detailhandel;Retail building;Commercial
(UDFASES) El-, gas-, vand- eller varmeværk, forbrændingsanstalt m.v.;(Phased out) Electricity, gas, water, or heating plant, incineration facility, etc.;Energy & Utilities
(UDFASES) Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus). Garage med plads til et eller to køretøjer registreres med anvendelseskode 910;(Phased out) Transport and garage facility (freight terminal, airport building, station building, parking garage). Garage for one or two vehicles is registered with code 910;Transport & Parking
Fritliggende overdækning;Detached canopy;Residential Buildings
Anden bygning til fritidsformål;Other building for leisure purposes;Leisure & Sports
Kolonihavehus;Allotment garden house;Leisure & Sports
Bygning til lager;Storage building;Industrial & Production
Værksted;Workshop;Industrial & Production
Lade til halm, hø mv.;Barn for straw, hay, etc.;Agricultural & Rural
(UDFASES) Bygning til undervisning og forskning (skole, gymnasium, forskningslabratorium o.lign.);(Phased out) Building for education and research (school, high school, research lab, etc.);Institutional & Public
(UDFASES) Bygning til biograf, teater, erhvervsmæssig udstilling, bibliotek, museum, kirke o. lign.;(Phased out) Building for cinema, theater, exhibition, library, museum, church, etc.;Institutional & Public
Stald til fjerkræ;Poultry house;Agricultural & Rural
(UDFASES) Bygning til daginstitution;(Phased out) Building for daycare;Institutional & Public
Restaurant, café og konferencecenter uden overnatning;Restaurant, café, and conference center without accommodation;Commercial
Drivhus;Greenhouse;Agricultural & Rural
Forsamlingshus;Community hall;Institutional & Public
Fritliggende udestue;Detached conservatory;Leisure & Sports
Universitet;University;Institutional & Public
Andet transportanlæg;Other transport facility;Transport & Parking
Grundskole;Primary school;Institutional & Public
Bygning til håndtering af affald og spildevand;Building for waste and wastewater handling;Energy & Utilities
Bygning til energidistribution;Building for energy distribution;Energy & Utilities
Tankstation;Gas station;Transport & Parking
Klubhus i forbindelse med fritid og idræt;Clubhouse for leisure and sports;Leisure & Sports
Hospital og sygehus;Hospital;Institutional & Public
Bygning til energiproduktion;Building for energy production;Energy & Utilities
Daginstitution;Daycare;Institutional & Public
Anneks i tilknytning til fritids- og sommerhus;Annex to leisure or holiday home;Leisure & Sports
Bygning til parkering- og transportanlæg;Building for parking and transport facility;Transport & Parking
Bygning til industri med integreret produktionsapparat;Industrial building with integrated production equipment;Industrial & Production
Anden bygning til ferieformål;Other building for holiday purposes;Leisure & Sports
Bygning til parkering af flere end to køretøjer i tilknytning til boliger;Building for parking more than two vehicles near residences;Transport & Parking
Række-, kæde- og klyngehus;Row, linked, and cluster house;Residential Buildings
Anden bygning til institutionsformål;Other building for institutional purposes;Institutional & Public
Forlystelsespark;Amusement park;Leisure & Sports
Anden bygning til kontor, handel og lager;Other building for office, trade, and storage;Office
Bygning til jernbane- og busdrift;Building for railway and bus operations;Transport & Parking
Hotel, kro eller konferencecenter med overnatning;Hotel, inn, or conference center with accommodation;Commercial
Kollegium;Dormitory;Institutional & Public
Faldefærdig bygning;Dilapidated building;Miscellaneous
Idrætshal;Sports hall;Leisure & Sports
Bygning med ferielejligheder til erhvervsmæssig udlejning;Building with holiday apartments for commercial rental;Leisure & Sports
Anden bygning til idrætformål;Other building for sports purposes;Leisure & Sports
Bygning til vandforsyning;Building for water supply;Energy & Utilities
Anden bygning til sundhedsformål;Other building for health purposes;Institutional & Public
Anden bygning til energiproduktion og forsyning;Other building for energy production and supply;Energy & Utilities
Kirke eller anden bygning til trosudøvelse for statsanerkendte trossamfund;Church or other building for worship for state-recognized religious communities;Institutional & Public
Dobbelthus;Semi-detached house;Residential Buildings
Sammenbygget enfamiliehus;Attached single-family house;Residential Buildings
Privat servicevirksomhed som frisør, vaskeri, netcafé mv.;Private service business such as hairdresser, laundry, internet café, etc.;Commercial
Anden bygning til kulturelle formål;Other building for cultural purposes;Institutional & Public
Biograf, teater, koncertsted mv.;Cinema, theater, concert venue, etc.;Institutional & Public
Bygning til træning og opstaldning af heste;Building for horse training and stabling;Agricultural & Rural
Anneks i tilknytning til helårsbolig.;Annex to year-round residence;Residential Buildings
Havneanlæg;Port facility;Residential Buildings
Museum;Museum;Institutional & Public
Servicefunktion på døgninstitution;Service function at 24-hour institution;Institutional & Public
Tribune i forbindelse med stadion;Stadium grandstand;Leisure & Sports
Bed & breakfast mv.;Bed & breakfast, etc.;Commercial
Svømmehal;Swimming pool;Leisure & Sports
Bibliotek;Library;Institutional & Public
Butikscenter;Shopping center;Commercial
Bygning til luftfart;Aviation building;Transport & Parking
Kaserne;Barracks;Institutional & Public
Hospice, behandlingshjem mv.;Hospice, treatment home, etc.;Institutional & Public
Bygning med ferielejligheder til eget brug;Building with holiday apartments for own use;Leisure & Sports
(UDFASES) Anden bygning til transport, handel etc;(Phased out) Other building for transport, trade, etc.;Transport & Parking
(UDFASES) Bygning i forbindelse med idrætsudøvelse (klubhus, idrætshal, svømmehal o. lign.);(Phased out) Building for sports activities (clubhouse, sports hall, swimming pool, etc.);Leisure & Sports
(UDFASES) Bygning til feriekoloni, vandrehjem o.lign. bortset fra sommerhus;(Phased out) Building for holiday camp, hostel, etc., except holiday home;Leisure & Sports
(UDFASES) Bygning til hospital, sygehjem, fødeklinik o. lign.;(Phased out) Building for hospital, nursing home, maternity clinic, etc.;Institutional & Public
(UDFASES) Bygning til undervisning og forskning (skole, gymnasium, forskningslabratorium o.lign.).;(Phased out) Building for education and research (school, high school, research lab, etc.);Institutional & Public
Maskinhus,  garage mv.;Machine shed, garage, etc.;Agricultural & Rural
Fritiliggende enfamiliehus i tæt-lav bebyggelse;Detached single-family house in dense low-rise development;Residential Buildings